Id,Age,Experience,Education,Skills,Gender,EmployementType,Country,Salary
1,28,3,2.0,1.0,1.0,1.0,USA,65000
2,32,7,3.0,2.0,0.0,1.0,USA,95000
3,24,1,0.0,1.0,1.0,2.0,UK,32000
4,35,10,4.0,5.0,0.0,1.0,Canada,120000
5,30,5,2.0,2.0,1.0,1.0,Germany,70000
6,27,4,2.0,1.0,0.0,1.0,USA,80000
7,40,15,3.0,6.0,1.0,1.0,USA,110000
8,22,0,0.0,1.0,0.0,2.0,Australia,28000
9,45,20,4.0,5.0,1.0,1.0,USA,150000
10,29,6,2.0,2.0,0.0,1.0,UK,75000
11,33,8,3.0,3.0,1.0,1.0,Canada,90000
12,26,2,2.0,1.0,0.0,1.0,USA,60000
13,38,12,3.0,6.0,1.0,1.0,Germany,105000
14,31,6,2.0,2.0,0.0,1.0,USA,85000
15,42,17,4.0,7.0,1.0,1.0,USA,130000
16,25,3,2.0,1.0,0.0,2.0,UK,45000
17,36,11,3.0,3.0,1.0,1.0,Canada,98000
18,23,1,0.0,1.0,0.0,2.0,Australia,30000
19,47,22,4.0,7.0,1.0,1.0,USA,160000
20,34,9,3.0,4.0,0.0,1.0,USA,92000
21,28,4,2.0,2.0,1.0,1.0,Germany,68000
22,39,13,3.0,7.0,0.0,1.0,Canada,108000
23,30,7,2.0,3.0,1.0,1.0,USA,78000
24,44,18,4.0,5.0,0.0,1.0,USA,140000
25,27,5,2.0,1.0,1.0,1.0,UK,72000
26,37,12,3.0,4.0,0.0,1.0,Canada,102000
27,26,3,2.0,2.0,1.0,1.0,USA,67000
28,41,16,4.0,5.0,0.0,1.0,Germany,125000
29,29,6,2.0,3.0,1.0,1.0,USA,82000
30,35,10,3.0,6.0,0.0,1.0,Canada,95000
31,24,2,2.0,1.0,1.0,2.0,UK,48000
32,46,19,4.0,5.0,0.0,1.0,USA,145000
33,33,8,2.0,2.0,1.0,1.0,USA,88000
34,38,13,3.0,4.0,0.0,1.0,Germany,107000
35,31,7,2.0,3.0,1.0,1.0,Canada,79000
36,43,17,4.0,7.0,0.0,1.0,USA,135000
37,28,5,2.0,1.0,1.0,1.0,UK,70000
38,36,11,3.0,2.0,0.0,1.0,USA,99000
39,25,4,2.0,1.0,1.0,2.0,Australia,42000
40,45,20,4.0,5.0,0.0,1.0,Canada,155000
41,32,9,2.0,4.0,1.0,1.0,USA,86000
42,39,14,3.0,5.0,0.0,1.0,Germany,112000
43,30,8,2.0,3.0,1.0,1.0,USA,83000
44,44,18,4.0,7.0,0.0,1.0,USA,142000
45,27,6,2.0,1.0,1.0,2.0,UK,58000
46,37,12,3.0,6.0,0.0,1.0,Canada,104000
47,26,5,2.0,2.0,1.0,1.0,USA,69000
48,42,16,4.0,7.0,0.0,1.0,Germany,128000
49,29,7,2.0,3.0,1.0,1.0,USA,81000
50,38,14,3.0,2.0,0.0,1.0,Canada,110000
